season,manager,roster_id,h2h_wins,points_for,league
41,hyperpringle,6,10.0,1732.26,House of Hard Knocks
41,splangtree,9,7.0,1736.13,House of Hard Knocks
42,0llie,4,4.0,1560.79,House of Hard Knocks
42,DanCoulton,1,11.0,1679.87,House of Hard Knocks
42,JoeWright,10,5.0,1499.71,House of Hard Knocks
42,Jonnydubz,8,7.0,1537.0,House of Hard Knocks
42,MajorNC,2,13.0,1730.64,House of Hard Knocks
42,Pindeco,7,8.0,1660.9099999999999,House of Hard Knocks
42,Tomcoulton10,3,9.0,1707.7,House of Hard Knocks
42,calumedwards,5,5.0,1483.27,House of Hard Knocks
42,hyperpringle,6,4.0,1473.36,House of Hard Knocks
42,splangtree,9,9.0,1647.8600000000001,House of Hard Knocks
43,0llie,4,6.0,1506.73,House of Hard Knocks
43,DanCoulton,1,10.0,1772.54,House of Hard Knocks
43,JoeWright,10,3.0,1605.42,House of Hard Knocks
43,Jonnydubz,8,5.0,1556.46,House of Hard Knocks
43,MajorNC,2,10.0,1671.92,House of Hard Knocks
43,Pindeco,7,11.0,1797.85,House of Hard Knocks
43,Tomcoulton10,3,10.0,1790.26,House of Hard Knocks
43,calumedwards,5,5.0,1563.15,House of Hard Knocks
43,hyperpringle,6,6.0,1650.1,House of Hard Knocks
43,splangtree,9,9.0,1637.6100000000001,House of Hard Knocks
44,0llie,4,7.0,1590.52,House of Hard Knocks
44,DanCoulton,1,6.0,1622.62,House of Hard Knocks
44,JoeWright,10,9.0,1576.64,House of Hard Knocks
44,Jonnydubz,8,6.0,1485.8700000000001,House of Hard Knocks
44,MajorNC,2,12.0,1771.0,House of Hard Knocks
44,Pindeco,7,9.0,1710.41,House of Hard Knocks
44,Tomcoulton10,3,8.0,1682.0,House of Hard Knocks
44,calumedwards,5,6.0,1629.92,House of Hard Knocks
44,hyperpringle,6,7.0,1643.91,House of Hard Knocks
44,splangtree,9,5.0,1612.95,House of Hard Knocks
45,0llie,4,4.0,1423.92,House of Hard Knocks
45,DanCoulton,1,11.0,1666.91,House of Hard Knocks
45,JoeWright,10,6.0,1630.31,House of Hard Knocks
45,Jonnydubz,8,9.0,1703.36,House of Hard Knocks
45,MajorNC,2,12.0,1749.52,House of Hard Knocks
45,Pindeco,7,4.0,1643.31,House of Hard Knocks
45,Tomcoulton10,3,9.0,1671.15,House of Hard Knocks
45,calumedwards,5,4.0,1547.42,House of Hard Knocks
45,hyperpringle,6,9.0,1627.65,House of Hard Knocks
45,splangtree,9,7.0,1556.04,House of Hard Knocks
46,0llie,4,6.0,1491.67,House of Hard Knocks
46,DanCoulton,1,10.0,1580.87,House of Hard Knocks
46,JoeWright,10,1.0,1443.6,House of Hard Knocks
46,Jonnydubz,8,5.0,1570.1100000000001,House of Hard Knocks
46,MajorNC,2,11.0,1635.82,House of Hard Knocks
46,Pindeco,7,9.0,1691.23,House of Hard Knocks
46,Tomcoulton10,3,9.0,1694.76,House of Hard Knocks
46,calumedwards,5,7.0,1699.18,House of Hard Knocks
46,hyperpringle,6,9.0,1707.42,House of Hard Knocks
46,splangtree,9,8.0,1560.1000000000001,House of Hard Knocks
47,0llie,4,7.0,1551.08,House of Hard Knocks
47,DanCoulton,1,7.0,1682.35,House of Hard Knocks
47,JoeWright,10,5.0,1579.9,House of Hard Knocks
47,Jonnydubz,8,8.0,1615.43,House of Hard Knocks
47,MajorNC,2,9.0,1725.65,House of Hard Knocks
47,Pindeco,7,8.0,1565.99,House of Hard Knocks
