gameweek,roster_id,pp_points,points,manager,matchup_id,opponent_id,pp_points_opponent,points_opponent,pp_win,win,all_play,league
7,6,118.38,114.38,steveoreilly7,1,9,136.42,112.42,0.0,1.0,4.0,Across The Pond
7,7,95.82000000000001,90.92,JoeWright,4,5,154.26,144.86,0.0,0.0,1.0,Across The Pond
7,8,102.53999999999999,85.94,mikepearson,3,4,127.83999999999999,101.64,0.0,0.0,0.0,Across The Pond
7,9,136.42,112.42,benturvill61,1,6,118.38,114.38,1.0,0.0,3.0,Across The Pond
7,10,154.89999999999998,131.28,WALLER79,5,1,137.64,116.84,1.0,1.0,7.0,Across The Pond
8,1,159.36,140.16,msouthwell,5,6,123.92,110.42,1.0,1.0,9.0,Across The Pond
8,2,90.16,90.16,jhh82,2,8,120.4,107.0,0.0,0.0,1.0,Across The Pond
8,3,122.67999999999999,122.68,Dominichudson1986,1,9,127.28,126.88,0.0,0.0,6.0,Across The Pond
8,4,129.7,126.89999999999999,DanCoulton,3,5,109.82000000000001,108.32,1.0,1.0,8.0,Across The Pond
8,5,109.82000000000001,108.32,JPLdavies2024,3,4,129.7,126.89999999999999,0.0,0.0,4.0,Across The Pond
8,6,123.92,110.42,steveoreilly7,5,1,159.36,140.16,0.0,0.0,5.0,Across The Pond
8,7,99.88000000000001,95.88,JoeWright,4,10,101.78000000000002,67.28,0.0,1.0,2.0,Across The Pond
8,8,120.4,107.0,mikepearson,2,2,90.16,90.16,1.0,1.0,3.0,Across The Pond
8,9,127.28,126.88,benturvill61,1,3,122.67999999999999,122.68,1.0,1.0,7.0,Across The Pond
8,10,101.78000000000002,67.28,WALLER79,4,7,99.88000000000001,95.88,1.0,0.0,0.0,Across The Pond
9,1,91.62,89.22,msouthwell,3,4,128.94,119.44,0.0,0.0,0.0,Across The Pond
9,2,114.1,102.5,jhh82,2,10,168.89999999999998,149.46,0.0,0.0,4.0,Across The Pond
9,3,122.32000000000001,108.22,Dominichudson1986,5,5,124.39999999999999,112.2,0.0,0.0,5.0,Across The Pond
9,4,128.94,119.44,DanCoulton,3,1,91.62,89.22,1.0,1.0,8.0,Across The Pond
9,5,124.39999999999999,112.2,JPLdavies2024,5,3,122.32000000000001,108.22,1.0,1.0,6.0,Across The Pond
9,6,125.14,100.16,steveoreilly7,4,7,120.67999999999999,116.17999999999999,1.0,0.0,3.0,Across The Pond
9,7,120.67999999999999,116.17999999999999,JoeWright,4,6,125.14,100.16,0.0,1.0,7.0,Across The Pond
9,8,111.1,92.9,mikepearson,1,9,95.72,90.72,1.0,1.0,2.0,Across The Pond
9,9,95.72,90.72,benturvill61,1,8,111.1,92.9,0.0,0.0,1.0,Across The Pond
9,10,168.89999999999998,149.46,WALLER79,2,2,114.1,102.5,1.0,1.0,9.0,Across The Pond
10,1,147.51999999999998,131.82,msouthwell,3,5,115.52,109.42,1.0,1.0,8.0,Across The Pond
10,2,115.16000000000001,97.36000000000001,jhh82,1,9,126.02,101.64,0.0,0.0,3.0,Across The Pond
10,3,77.7,77.7,Dominichudson1986,5,8,158.5,143.6,0.0,0.0,0.0,Across The Pond
10,4,143.38,127.48,DanCoulton,2,7,111.10000000000001,88.0,1.0,1.0,7.0,Across The Pond
10,5,115.52,109.42,JPLdavies2024,3,1,147.51999999999998,131.82,0.0,0.0,5.0,Across The Pond
10,6,120.39999999999999,96.94,steveoreilly7,4,10,111.5,109.8,1.0,0.0,2.0,Across The Pond
10,7,111.10000000000001,88.0,JoeWright,2,4,143.38,127.48,0.0,0.0,1.0,Across The Pond
